,Agency Name,City_x,State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,4561624.0,6106812.0,6551625.0,23110829.0,0.0,1981510.0,5463879.0,5751173.0,3926560.0,5101366.0,6481872.0,6295097.0,7258191.0,22919353.0,11530486.0,6976900.0,"Saint Louis, MO",Saint Louis,MO,38.6358,0.0
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,1303623.0,1539360.0,1462603.0,8035455.0,1407532.0,3945121.0,6340614.0,3907413.0,1209491.0,3468117.0,6031637.0,5925300.0,4889334.0,12127440.0,14706595.0,7743777.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,0.0
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,14350096.0,19315671.0,14114127.0,11340383.0,17114011.0,15045186.0,8951105.0,6494506.0,7501681.0,7336182.0,8185558.0,9547855.0,8936473.0,10934237.0,13745548.0,15917514.0,"Austin, TX",Austin,TX,30.3004,0.0
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,2375444.0,3518091.0,4601980.0,4509412.0,3148852.0,4058738.0,3744698.0,1991511.0,2327278.0,2495493.0,3927952.0,3184346.0,3343187.0,4164094.0,6462155.0,4726953.0,"Orlando, FL",Orlando,FL,28.4772,0.0
4,Central Ohio Transit Authority (COTA),Columbus,OH,1616506.0,1800285.0,2163072.0,1205749.0,1128342.0,1045931.0,1129026.0,1370256.0,1037015.0,1317498.0,1226421.0,1877512.0,2573027.0,12143650.0,46762520.0,56319272.0,"Columbus, OH",Columbus,OH,39.9862,0.0
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,29454022.0,40565977.0,29076845.0,42308391.0,15704480.0,23894846.0,25550106.0,15710104.0,12039326.0,11950854.0,42901435.0,22781385.0,27635290.0,43664988.0,60977540.0,43180353.0,"Seattle, WA",Seattle,WA,47.6211,0.0
6,Chicago Transit Authority (CTA),Chicago,IL,36194776.0,41385163.0,44175591.0,40733657.0,57659175.0,39719631.0,42108282.0,45134872.0,48200357.0,89164340.0,66348700.0,78639215.0,78378092.0,61722170.0,65700447.0,39418482.0,"Chicago, IL",Chicago,IL,41.8373,0.0
7,City and County of San Francisco (SFMTA),San Francisco,CA,8401259.0,7558855.0,12724692.0,22001057.0,22773034.0,21684517.0,21945265.0,25746435.0,25246719.0,40592940.0,40554264.0,77755316.0,78930005.0,63497494.0,84958754.0,32681365.0,"San Francisco, CA",San Francisco,CA,37.7562,0.0
8,City of Charlotte North Carolina (CATS),Charlotte,NC,4507874.0,359133.0,471720.0,696855.0,28146334.0,5377109.0,10321124.0,1250565.0,6805271.0,3885531.0,2691017.0,3484684.0,4813246.0,6709873.0,13241774.0,10267364.0,"Charlotte, NC",Charlotte,NC,35.208,0.0
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,1169530.0,839276.0,1335620.0,1009022.0,1165926.0,1217274.0,1530179.0,623060.0,598987.0,773056.0,928262.0,823404.0,3610821.0,2726182.0,2704896.0,490066.0,"Hartford, CT",Hartford,CT,41.7661,0.0
10,County of Miami-Dade (MDT),Miami,FL,11233680.0,9282895.0,11401361.0,13942640.0,8052787.0,17386639.0,7821881.0,7906087.0,11399134.0,16385873.0,15522746.0,19966486.0,20433974.0,18976097.0,28057136.0,17451340.0,"Miami, FL",Miami,FL,25.7839,0.0
11,Dallas Area Rapid Transit (DART),Dallas,TX,26895221.0,36469843.0,3617148.0,4898108.0,21912126.0,84986176.0,54382033.0,57137968.0,46663852.0,46699204.0,60116258.0,45104331.0,44374524.0,49634974.0,53118443.0,43530864.0,"Dallas, TX",Dallas,TX,32.7936,0.0
12,Denver Regional Transportation District (RTD),Denver,CO,19387541.0,26440900.0,2709889.0,58905661.0,35629660.0,14258409.0,13003533.0,17171907.0,34534798.0,14682971.0,18200461.0,28466468.0,84363873.0,33562458.0,49303701.0,25409598.0,"Denver, CO",Denver,CO,39.7621,0.0
13,Fort Worth Transportation Authority (FWTA),Fort Worth,TX,1888169.0,2839756.0,5572134.0,5350979.0,4923573.0,2520975.0,562864.0,4220716.0,1598974.0,5564156.0,6793225.0,4134280.0,5693854.0,7547198.0,7190074.0,2173178.0,"Fort Worth, TX",Fort Worth,TX,32.7811,0.0
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,CA,1961681.0,3671624.0,3359204.0,10379090.0,7840356.0,10324597.0,9052545.0,9993217.0,4861431.0,7235701.0,12677643.0,1950206.0,1852227.0,3725710.0,2895753.0,2735328.0,"San Francisco, CA",San Francisco,CA,37.7562,0.0
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,OH,1576311.0,2122897.0,3040871.0,4509822.0,1337659.0,922721.0,2066076.0,1055297.0,884165.0,1358215.0,1430464.0,1335894.0,1469552.0,1306916.0,2181591.0,1050752.0,"Dayton, OH",Dayton,OH,39.7797,0.0
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,IN,1355730.0,1791575.0,2638923.0,2573183.0,1043037.0,1197062.0,1358651.0,566366.0,611465.0,7969927.0,706429.0,964622.0,1309673.0,969265.0,1463125.0,875852.0,"Indianapolis, IN",Indianapolis,IN,39.7771,0.0
17,King County Department of Metro Transit (KCM),Seattle,WA,44463955.0,70893619.0,74629595.0,57499807.0,127877617.0,76634119.0,137498481.0,111304076.0,120476673.0,112750576.0,95710625.0,84233902.0,128031470.0,82939554.0,97159424.0,141292875.0,"Seattle, WA",Seattle,WA,47.6211,0.0
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,22328775.0,22603163.0,36984744.0,28600327.0,45055556.0,35330891.0,36519585.0,33359539.0,33256013.0,28819238.0,33383371.0,40894511.0,45827318.0,47510826.0,52587980.0,48059295.0,"Los Angeles, CA",Los Angeles,CA,34.1139,0.0
19,MTA New York City Transit (NYCT),Brooklyn,NY,165332255.0,188607959.0,228535771.0,233435877.0,293699539.0,281383494.0,1451267739.0,1873833308.0,1732204891.0,1592758520.0,522077314.0,1975100777.0,1621950637.0,2745244120.0,2566535714.0,1421659471.0,"Brooklyn, NY",Brooklyn,NY,40.6501,0.0
20,Maryland Transit Administration (MTA),Baltimore,MD,4496394.0,5627233.0,4876663.0,4150402.0,5216497.0,6103364.0,2353182.0,1810112.0,2984760.0,7947209.0,7864253.0,8103358.0,0.0,0.0,7372074.0,9186000.0,"Baltimore, MD",Baltimore,MD,39.3051,0.0
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,56634833.0,68371494.0,68097651.0,64041969.0,69642877.0,65181912.0,72246971.0,91419564.0,59962484.0,55575534.0,56349131.0,85782507.0,77581667.0,245518745.0,199852555.0,205033666.0,"Boston, MA",Boston,MA,42.3188,0.0
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,32492775.0,36108769.0,34494643.0,35961391.0,40313412.0,46823545.0,47756936.0,51427742.0,62094202.0,62535953.0,62350810.0,59854532.0,54545483.0,52477615.0,57201258.0,36919438.0,"New York, NY",New York,NY,40.6943,0.0
23,Metropolitan Atlanta Rapid Transit Authority (MARTA),Atlanta,GA,24495327.0,32485631.0,37869231.0,51534809.0,70865791.0,17875695.0,33504620.0,77949053.0,0.0,17639160.0,18020542.0,55479123.0,55101351.0,60443500.0,112271173.0,81140347.0,"Atlanta, GA",Atlanta,GA,33.7627,0.0
24,New Jersey Transit Corporation,Newark,NJ,113522675.0,131361954.0,159773943.0,167289528.0,210646318.0,89156831.0,77140014.0,96593990.0,130384395.0,137968545.0,103908246.0,98601498.0,111511321.0,94272624.0,127031627.0,108757165.0,"Newark, NJ",Newark,NJ,40.7245,0.0
25,New Orleans Regional Transit Authority (NORTA),New Orleans,LA,0.0,2331875.0,3794935.0,2601453.0,1318375.0,2056301.0,3859684.0,3582132.0,3142927.0,2170527.0,3393019.0,2153722.0,2435880.0,3453530.0,2966874.0,1907107.0,"New Orleans, LA",New Orleans,LA,30.0687,0.0
26,Northeast Illinois Regional Commuter Railroad Corporation,Chicago,IL,59788016.0,33479918.0,40993258.0,94313248.0,61198211.0,75541775.0,25277997.0,14191903.0,31579453.0,31636207.0,3837554.0,9137328.0,27969626.0,6383730.0,44964934.0,78260060.0,"Chicago, IL",Chicago,IL,41.8373,0.0
27,Northern Indiana Commuter Transportation District (NICTD),Chesterton,IN,628914.0,1169410.0,1310955.0,2059963.0,1545605.0,1153325.0,1495623.0,1538211.0,1609838.0,1991223.0,2051739.0,1739037.0,1831446.0,2270258.0,3075435.0,2700824.0,"Chesterton, IN",Chesterton,IN,41.5997,0.0
28,Pace - Suburban Bus Division,Arlington Heights,IL,6031528.0,11894805.0,2385749.0,11301934.0,0.0,0.0,0.0,0.0,0.0,7324270.0,0.0,10277269.0,22288158.0,21789525.0,1135674.0,2162936.0,"Arlington Heights, IL",Arlington Heights,IL,42.0955,0.0
29,Peninsula Corridor Joint Powers Board (PCJPB),San Carlos,CA,48941718.0,40944065.0,44747932.0,48515731.0,49868448.0,48608913.0,10418292.0,12962603.0,14450764.0,17833899.0,10428680.0,10232499.0,13995308.0,12804205.0,13239661.0,8688056.0,"San Carlos, CA",San Carlos,CA,37.4982,0.0
30,Port Authority of Allegheny County,Pittsburgh,PA,2741375.0,11954350.0,46247471.0,5607425.0,2559516.0,2813042.0,3020431.0,3958195.0,4365714.0,2900977.0,4012329.0,3921244.0,4851149.0,8113458.0,7820939.0,11668035.0,"Pittsburgh, PA",Pittsburgh,PA,40.4396,0.0
31,Rhode Island Public Transit Authority (RIPTA),Providence,RI,1106036.0,1175996.0,886237.0,1469634.0,1904816.0,1262118.0,1969251.0,1930911.0,1481386.0,1455403.0,1664725.0,1616142.0,1056490.0,2610506.0,10008547.0,5354080.0,"Providence, RI",Providence,RI,41.823,0.0
32,San Diego Metropolitan Transit System (MTS),San Diego,CA,917422.0,1012307.0,3137222.0,555906.0,1217302.0,690918.0,656813.0,747470.0,580059.0,1318210.0,1184205.0,725434.0,4143606.0,1575141.0,4397985.0,908170.0,"San Diego, CA",San Diego,CA,32.8312,0.0
33,San Francisco Bay Area Rapid Transit District (BART),Oakland,CA,51234482.0,48877151.0,58195242.0,32110650.0,31806362.0,42444588.0,36729968.0,32067828.0,134857368.0,153305809.0,79750541.0,101720571.0,53137429.0,65398674.0,109317084.0,68350584.0,"Oakland, CA",Oakland,CA,37.7903,0.0
34,Santa Clara Valley Transportation Authority (VTA),San Jose,CA,17900211.0,27981569.0,15286014.0,25809399.0,20980885.0,10524265.0,19111741.0,32558989.0,9068509.0,37833320.0,61011089.0,32520524.0,11968208.0,11123740.0,58769522.0,74672595.0,"San Jose, CA",San Jose,CA,37.3019,0.0
35,Southeastern Pennsylvania Transportation Authority (SEPTA),Philadelphia,PA,25720055.0,29568511.0,34383101.0,40204734.0,33557572.0,25829506.0,42023245.0,33999785.0,34057711.0,34818237.0,37973470.0,38039368.0,35637566.0,42582064.0,47891778.0,44616501.0,"Philadelphia, PA",Philadelphia,PA,40.0077,0.0
36,Staten Island Rapid Transit Operating Authority (SIRTOA),Staten Island,NY,401098.0,577418.0,1613393.0,447457.0,599490.0,631675.0,618254.0,674714.0,678924.0,864073.0,6647627.0,14901631.0,12986738.0,20225773.0,50927744.0,37265670.0,"Staten Island, NY",Staten Island,NY,40.5834,0.0
37,The Greater Cleveland Regional Transit Authority (GCRTA),Cleveland,OH,1795846.0,1525462.0,1317059.0,1382537.0,1115051.0,968323.0,1616494.0,1349823.0,1493047.0,1652603.0,1631688.0,3237269.0,4589295.0,10850984.0,7890381.0,5631180.0,"Cleveland, OH",Cleveland,OH,41.4767,0.0
38,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,6380900.0,9479424.0,31776888.0,28219889.0,31264879.0,24338789.0,21569323.0,24863226.0,22299575.0,20535154.0,24420554.0,22072706.0,19537973.0,22668160.0,39066070.0,42843286.0,"Portland, OR",Portland,OR,45.5372,0.0
39,Utah Transit Authority (UTA),Salt Lake City,UT,5836782.0,20221494.0,15307593.0,18963550.0,13820133.0,13820131.0,325449108.0,142245566.0,71139477.0,13783753.0,13393453.0,7107797.0,9195344.0,36083841.0,14937623.0,9485213.0,"Salt Lake City, UT",Salt Lake City,UT,40.7777,0.0
40,VIA Metropolitan Transit (VIA),San Antonio,TX,5438208.0,5189592.0,7615214.0,6628526.0,3067678.0,2340856.0,2001765.0,2269337.0,955518.0,2156877.0,2455153.0,3531162.0,6026100.0,4035101.0,6005910.0,9148336.0,"San Antonio, TX",San Antonio,TX,29.4658,0.0
41,"Valley Metro Rail, Inc. (VMR)",Phoenix,AZ,0.0,0.0,0.0,0.0,40000.0,103410.0,398250.0,748694.0,771447.0,653668.0,1859251.0,1156891.0,1143935.0,1141279.0,1404338.0,1355666.0,"Phoenix, AZ",Phoenix,AZ,33.5722,0.0
42,Washington Metropolitan Area Transit Authority (WMATA),Washington,DC,203264762.0,194746536.0,222227288.0,211616824.0,184394599.0,189158978.0,138945280.0,139773298.0,136004854.0,125480140.0,127724848.0,123304664.0,122160611.0,110225266.0,149252484.0,122274406.0,"Washington, DC",Washington,DC,38.9047,0.0
43,Washington State Ferries (WSF),Olympia,WA,76313717.0,106927345.0,116661688.0,121539653.0,109433783.0,115912499.0,116053847.0,120344507.0,125141617.0,129671138.0,136448425.0,142138169.0,146574216.0,119474869.0,121289531.0,106102111.0,"Olympia, WA",Olympia,WA,47.0417,0.0
